1.1 ,Caretaker,7.1,1902,    7.1/10  
1.2 ,Parallax,7,436,    7.0/10  
1.3 ,Time and Again,7.1,422,    7.1/10  
1.4 ,Phage,7.1,389,    7.1/10  
1.5 ,The Cloud,6.4,378,    6.4/10  
1.6 ,Eye of the Needle,8.1,427,    8.1/10  
1.7 ,Ex Post Facto,6.6,377,    6.6/10  
1.8 ,Emanations,6.6,365,    6.6/10  
1.9 ,Prime Factors,7.3,366,    7.3/10  
1.10 ,State of Flux,7.6,349,    7.6/10  
1.11 ,Heroes and Demons,6.7,379,    6.7/10  
1.12 ,Cathexis,6.7,340,    6.7/10  
1.13 ,Faces,7.3,358,    7.3/10  
1.14 ,Jetrel,7.1,345,    7.1/10  
1.15 ,Learning Curve,7.1,343,    7.1/10  
2.1 ,The 37's,7.3,410,    7.3/10  
2.2 ,Initiations,6.6,327,    6.6/10  
2.3 ,Projections,7.9,383,    7.9/10  
2.4 ,Elogium,6,333,    6.0/10  
2.5 ,Non Sequitur,7,358,    7.0/10  
2.6 ,Twisted,6.9,343,    6.9/10  
2.7 ,Parturition,6.3,312,    6.3/10  
2.8 ,Persistence of Vision,6.9,325,    6.9/10  
2.9 ,Tattoo,6.2,324,    6.2/10  
2.10 ,Cold Fire,7.3,315,    7.3/10  
2.11 ,Maneuvers,7.3,307,    7.3/10  
2.12 ,Resistance,7,318,    7.0/10  
2.13 ,Prototype,7.4,346,    7.4/10  
2.14 ,Alliances,7.3,318,    7.3/10  
2.15 ,Threshold,5.4,426,    5.4/10  
2.16 ,Meld,7.9,368,    7.9/10  
2.17 ,Dreadnought,7.6,341,    7.6/10  
2.18 ,Death Wish,8.3,412,    8.3/10  
2.19 ,Lifesigns,7.4,341,    7.4/10  
2.20 ,Investigations,7.4,335,    7.4/10  
2.21 ,Deadlock,8.2,373,    8.2/10  
2.22 ,Innocence,6.5,331,    6.5/10  
2.23 ,The Thaw,7.5,412,    7.5/10  
2.24 ,Tuvix,7.5,443,    7.5/10  
2.25 ,Resolutions,7.2,332,    7.2/10  
2.26 ,Basics: Part 1,7.9,345,    7.9/10  
3.1 ,Basics: Part 2,7.9,336,    7.9/10  
3.2 ,Flashback,7.7,369,    7.7/10  
3.3 ,The Chute,6.9,312,    6.9/10  
3.4 ,The Swarm,7.1,294,    7.1/10  
3.5 ,False Profits,6.6,320,    6.6/10  
3.6 ,Remember,7.2,296,    7.2/10  
3.7 ,Sacred Ground,6,335,    6.0/10  
3.8 ,Future's End: Part 1,8.3,423,    8.3/10  
3.9 ,Future's End: Part 2,8.2,389,    8.2/10  
3.10 ,Warlord,6.7,308,    6.7/10  
3.11 ,The Q and the Grey,7.2,327,    7.2/10  
3.12 ,Macrocosm,7.2,311,    7.2/10  
3.13 ,Fair Trade,6.7,283,    6.7/10  
3.14 ,Alter Ego,6.7,286,    6.7/10  
3.15 ,Coda,7.1,311,    7.1/10  
3.16 ,Blood Fever,7.4,314,    7.4/10  
3.17 ,Unity,7.8,321,    7.8/10  
3.18 ,Darkling,6.6,282,    6.6/10  
3.19 ,Rise,6.8,281,    6.8/10  
3.20 ,Favorite Son,6.1,298,    6.1/10  
3.21 ,Before and After,7.9,331,    7.9/10  
3.22 ,Real Life,7.4,328,    7.4/10  
3.23 ,Distant Origin,8.4,393,    8.4/10  
3.24 ,Displaced,7.4,279,    7.4/10  
3.25 ,Worst Case Scenario,8.1,331,    8.1/10  
3.26 ,Scorpion: Part 1,8.6,471,    8.6/10  
4.1 ,Scorpion: Part 2,8.6,445,    8.6/10  
4.2 ,The Gift,7.7,352,    7.7/10  
4.3 ,Day of Honor,7.3,309,    7.3/10  
4.4 ,Nemesis,6.8,317,    6.8/10  
4.5 ,Revulsion,7.4,305,    7.4/10  
4.6 ,The Raven,7.3,310,    7.3/10  
4.7 ,Scientific Method,7.9,328,    7.9/10  
4.8 ,Year of Hell: Part 1,8.7,453,    8.7/10  
4.9 ,Year of Hell: Part 2,8.5,419,    8.5/10  
4.10 ,Random Thoughts,6.8,298,    6.8/10  
4.11 ,Concerning Flight,6.8,293,    6.8/10  
4.12 ,Mortal Coil,6.6,293,    6.6/10  
4.13 ,Waking Moments,7.6,296,    7.6/10  
4.14 ,Message in a Bottle,8.7,452,    8.7/10  
4.15 ,Hunters,7.8,295,    7.8/10  
4.16 ,Prey,8.1,312,    8.1/10  
4.17 ,Retrospect,6.9,285,    6.9/10  
4.18 ,The Killing Game: Part 1,7.8,356,    7.8/10  
4.19 ,The Killing Game: Part 2,7.7,328,    7.7/10  
4.20 ,Vis À Vis,6.6,268,    6.6/10  
4.21 ,The Omega Directive,7.4,337,    7.4/10  
4.22 ,Unforgettable,6.5,305,    6.5/10  
4.23 ,Living Witness,8.7,422,    8.7/10  
4.24 ,Demon,7,298,    7.0/10  
4.25 ,One,8,338,    8.0/10  
4.26 ,Hope and Fear,8.1,330,    8.1/10  
5.1 ,Night,7.7,337,    7.7/10  
5.2 ,Drone,8.4,436,    8.4/10  
5.3 ,Extreme Risk,6.8,299,    6.8/10  
5.4 ,In the Flesh,7.8,365,    7.8/10  
5.5 ,Once Upon a Time,6.5,300,    6.5/10  
5.6 ,Timeless,8.7,442,    8.7/10  
5.7 ,Infinite Regress,7.6,313,    7.6/10  
5.8 ,Nothing Human,7,311,    7.0/10  
5.9 ,Thirty Days,7.1,305,    7.1/10  
5.10 ,Counterpoint,7.7,346,    7.7/10  
5.11 ,Latent Image,8.2,371,    8.2/10  
5.12 ,Bride of Chaotica!,7.5,368,    7.5/10  
5.13 ,Gravity,7.4,316,    7.4/10  
5.14 ,Bliss,7.4,318,    7.4/10  
5.15 ,Dark Frontier: Part 1,8.2,362,    8.2/10  
5.16 ,Dark Frontier: Part 2,8.3,341,    8.3/10  
5.17 ,The Disease,6.7,298,    6.7/10  
5.18 ,Course: Oblivion,7.6,351,    7.6/10  
5.19 ,The Fight,5.6,305,    5.6/10  
5.20 ,Think Tank,7.6,322,    7.6/10  
5.21 ,Juggernaut,6.8,268,    6.8/10  
5.22 ,Someone to Watch Over Me,8.1,358,    8.1/10  
5.23 ,0.499305556,6.7,306,    6.7/10  
5.24 ,Relativity,8.4,373,    8.4/10  
5.25 ,Warhead,7.1,278,    7.1/10  
5.26 ,Equinox: Part 1,8.3,347,    8.3/10  
6.1 ,Equinox: Part 2,8.1,365,    8.1/10  
6.2 ,Survival Instinct,7.5,309,    7.5/10  
6.3 ,Barge of the Dead,6.6,322,    6.6/10  
6.4 ,Tinker Tenor Doctor Spy,8.4,400,    8.4/10  
6.5 ,Alice,6.6,288,    6.6/10  
6.6 ,Riddles,7.2,289,    7.2/10  
6.7 ,Dragon's Teeth,7.6,302,    7.6/10  
6.8 ,One Small Step,7.6,318,    7.6/10  
6.9 ,The Voyager Conspiracy,7.5,309,    7.5/10  
6.10 ,Pathfinder,8.1,356,    8.1/10  
6.11 ,Fair Haven,6.3,317,    6.3/10  
6.12 ,Blink of an Eye,8.8,507,    8.8/10  
6.13 ,Virtuoso,7.1,308,    7.1/10  
6.14 ,Memorial,7,285,    7.0/10  
6.15 ,Tsunkatse,7.2,307,    7.2/10  
6.16 ,Collective,7.4,281,    7.4/10  
6.17 ,Spirit Folk,6.4,280,    6.4/10  
6.18 ,Ashes to Ashes,7,291,    7.0/10  
6.19 ,Child's Play,7.4,282,    7.4/10  
6.20 ,Good Shepherd,7.2,287,    7.2/10  
6.21 ,Live Fast and Prosper,7.3,271,    7.3/10  
6.22 ,Muse,6.8,275,    6.8/10  
6.23 ,Fury,6.4,291,    6.4/10  
6.24 ,Life Line,8.2,328,    8.2/10  
6.25 ,The Haunting of Deck Twelve,7.2,281,    7.2/10  
6.26 ,Unimatrix Zero: Part 1,7.9,313,    7.9/10  
7.1 ,Unimatrix Zero: Part 2,7.9,314,    7.9/10  
7.2 ,Imperfection,7.4,298,    7.4/10  
7.3 ,Drive,7.1,284,    7.1/10  
7.4 ,Repression,6.8,273,    6.8/10  
7.5 ,Critical Care,7.7,310,    7.7/10  
7.6 ,Inside Man,7.3,281,    7.3/10  
7.7 ,Body and Soul,7.7,317,    7.7/10  
7.8 ,Nightingale,6.7,269,    6.7/10  
7.9 ,Flesh and Blood,7.5,305,    7.5/10  
7.10 ,Flesh and Blood: Part 2,7.4,212,    7.4/10  
7.11 ,Shattered,8,354,    8.0/10  
7.12 ,Lineage,6.9,289,    6.9/10  
7.13 ,Repentance,7.3,285,    7.3/10  
7.14 ,Prophecy,7.4,283,    7.4/10  
7.15 ,The Void,7.9,307,    7.9/10  
7.16 ,Workforce: Part 1,7.6,292,    7.6/10  
7.17 ,Workforce: Part 2,7.7,290,    7.7/10  
7.18 ,Human Error,7.2,270,    7.2/10  
7.19 ,Q2,7.5,313,    7.5/10  
7.20 ,"Author, Author",7.7,307,    7.7/10  
7.21 ,Friendship One,7,274,    7.0/10  
7.22 ,Natural Law,7.2,275,    7.2/10  
7.23 ,Homestead,7.5,303,    7.5/10  
7.24 ,Renaissance Man,7.7,285,    7.7/10  
7.25 ,Endgame,8.4,661,    8.4/10  
